Film,Audience score %,Rotten Tomatoes %
Zack and Miri Make a Porno,70,64
Youth in Revolt,52,68
You Will Meet a Tall Dark Stranger,35,43
When in Rome,44,15
What Happens in Vegas,72,28
Water For Elephants,72,60
WALL-E,89,96
Waitress,67,89
Waiting For Forever,53,6
Valentine's Day,54,17
Tyler Perry's Why Did I get Married,47,46
Twilight: Breaking Dawn,68,26
Twilight,82,49
The Ugly Truth,68,14
The Twilight Saga: New Moon,78,27
The Time Traveler's Wife,65,38
The Proposal,74,43
The Invention of Lying,47,56
The Heartbreak Kid,41,30
The Duchess,68,60
The Curious Case of Benjamin Button,81,73
The Back-up Plan,47,20
Tangled,88,89
Something Borrowed,48,15
She's Out of My League,60,57
Sex and the City Two,49,15
Sex and the City 2,49,15
Sex and the City,81,49
Remember Me,70,28
Rachel Getting Married,61,85
Penelope,74,52
P.S. I Love You,82,21
Over Her Dead Body,47,15
Our Family Wedding,49,14
One Day,54,37
Not Easily Broken,66,34
No Reservations,64,39
Nick and Norah's Infinite Playlist,67,73
New Year's Eve,48,8
My Week with Marilyn,84,83
Music and Lyrics,70,63
Monte Carlo,50,38
Miss Pettigrew Lives for a Day,70,78
Midnight in Paris,84,93
Marley and Me,77,63
Mamma Mia!,76,53
Mamma Mia!,76,53
Made of Honor,61,13
Love Happens,40,18
Love & Other Drugs,55,48
Life as We Know It,62,28
License to Wed,55,8
Letters to Juliet,62,40
Leap Year,49,21
Knocked Up,83,91
Killers,45,11
Just Wright,58,45
Jane Eyre,77,85
It's Complicated,63,56
I Love You Phillip Morris,57,71
High School Musical 3: Senior Year,76,65
He's Just Not That Into You,60,42
Good Luck Chuck,61,3
Going the Distance,56,53
Gnomeo and Juliet,52,56
Gnomeo and Juliet,52,56
Ghosts of Girlfriends Past,47,27
Four Christmases,52,26
Fireproof,51,40
Enchanted,80,93
Dear John,66,29
Beginners,80,84
Across the Universe,84,54
A Serious Man,64,89
A Dangerous Method,89,79
27 Dresses,71,40
(500) Days of Summer,81,87
